"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 06 20:38:27 IST 2020","Sat Jun 06 20:38:28 IST 2020","1455","","home page feature test","","home page feature test","verify home page header","verify home page header",""
"passed","Sat Jun 06 20:39:30 IST 2020","Sat Jun 06 20:39:41 IST 2020","10695","","contact feature test","","contact feature test","create contact test","create contact test",""
"passed","Sat Jun 06 20:39:06 IST 2020","Sat Jun 06 20:39:30 IST 2020","24514","","contact feature test","","contact feature test","verify click on create contact","verify click on create contact",""
"passed","Sat Jun 06 20:38:31 IST 2020","Sat Jun 06 20:38:35 IST 2020","3224","","home page feature test","","home page feature test","verify sign out","verify sign out",""
"passed","Sat Jun 06 20:38:30 IST 2020","Sat Jun 06 20:38:31 IST 2020","1538","","home page feature test","","home page feature test","verify account name ","verify account name ",""
"passed","Sat Jun 06 20:38:31 IST 2020","Sat Jun 06 20:38:31 IST 2020","319","","home page feature test","","home page feature test","verify click on contact Dropdown","verify click on contact Dropdown",""
"passed","Sat Jun 06 20:38:28 IST 2020","Sat Jun 06 20:38:30 IST 2020","1516","","home page feature test","","home page feature test","verify click on search","verify click on search",""
"passed","Sat Jun 06 20:37:40 IST 2020","Sat Jun 06 20:37:41 IST 2020","230","","loginpage feature test","","loginpage feature test","verify sign up link","verify sign up link",""
"passed","Sat Jun 06 20:37:33 IST 2020","Sat Jun 06 20:37:40 IST 2020","7235","","loginpage feature test","","loginpage feature test","verify login page title","verify login page title",""
"passed","Sat Jun 06 20:38:08 IST 2020","Sat Jun 06 20:38:27 IST 2020","19077","","home page feature test","","home page feature test","verify home page title","verify home page title",""
"passed","Sat Jun 06 20:37:41 IST 2020","Sat Jun 06 20:37:43 IST 2020","2148","","loginpage feature test","","loginpage feature test","verify login","verify login",""
